,Age,Candidate,Criminal_Case,PC_NAME,Education,Party,ST_NAME,Winner,Year,Liabilities_num,Assets_num,ST_PC
0,52,Kuldeep Rai Sharma,0,ANDAMAN AND NICOBAR ISLANDS,Graduate Professional,INC,ANDAMAN,Yes,2019,80450870,132233012,ANDAMAN:ANDAMAN AND NICOBAR ISLANDS
15,46,Sridhar Kotagiri	,0,ELURU,Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,33560974,462808829,ANDHRA PRADESH:ELURU
24,26,Goddeti Madhavi,0,ARAKU,Graduate Professional,YSRCP,ANDHRA PRADESH,Yes,2019,0,141179,ANDHRA PRADESH:ARAKU
29,46,Chinta Anuradha,0,AMALAPURAM,Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,2431407,85993362,ANDHRA PRADESH:AMALAPURAM
33,68,N. Reddeppa,0,CHITTOOR,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,1341542,17355862,ANDHRA PRADESH:CHITTOOR
40,48,Talari Rangaiah,2,ANANTAPUR,Doctorate,YSRCP,ANDHRA PRADESH,Yes,2019,1135547,11773091,ANDHRA PRADESH:ANANTAPUR
66,52,Dr.Beesetti Venkata Satyavathi,0,ANAKAPALLE,Graduate Professional,YSRCP,ANDHRA PRADESH,Yes,2019,11139279,91526244,ANDHRA PRADESH:ANAKAPALLE
76,50,Balashowry Vallabhaneni,2,MACHILIPATNAM,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,746310844,990575840,ANDHRA PRADESH:MACHILIPATNAM
84,55,Vanga Geetha Viswanatham,0,KAKINADA,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,34416887,202528594,ANDHRA PRADESH:KAKINADA
87,34,Yeduguri Sandinti Avinash Reddy,4,KADAPA,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,22833319,186969794,ANDHRA PRADESH:KADAPA
88,52,Dr Sanjeev Kumar,0,KURNOOL,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,62070621,325914387,ANDHRA PRADESH:KURNOOL
133,43,Suresh Babu Nandigam,0,BAPATLA,8th Pass,YSRCP,ANDHRA PRADESH,Yes,2019,269000,4158610,ANDHRA PRADESH:BAPATLA
146,50,Kuruva Gorantla Madhav,2,HINDUPUR,Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,730332,1787356,ANDHRA PRADESH:HINDUPUR
152,42,Dibyendu Adhikari,1,TAMLUK,Graduate,AITC,WEST BENGAL,Yes,2019,8397501,37687867,WEST BENGAL:TAMLUK
155,53,Jayadev Galla,0,GUNTUR,Graduate,TDP,ANDHRA PRADESH,Yes,2019,203452417,3051485242,ANDHRA PRADESH:GUNTUR
158,57,Sajda Ahmed,0,ULUBERIA,Graduate,AITC,WEST BENGAL,Yes,2019,5322615,28351569,WEST BENGAL:ULUBERIA
195,62,Kalyan Banerjee,0,SREERAMPUR,Graduate Professional,AITC,WEST BENGAL,Yes,2019,5522403,175968902,WEST BENGAL:SREERAMPUR
206,56,Jagannath Sarkar,1,RANAGHAT,Graduate Professional,BJP,WEST BENGAL,Yes,2019,0,17622476,WEST BENGAL:RANAGHAT
213,48,Debasree Chaudhuri,2,RAIGANJ,Post Graduate,BJP,WEST BENGAL,Yes,2019,823416,6139123,WEST BENGAL:RAIGANJ
